Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,,,,,,,,,,,
jinPrelude/pyNeat,https://github.com/jinPrelude/pyNeat,FALSE,7/19/2021 0:47,"['neat', 'neat-python', 'evolutionary-algorithms', 'python']",6,1,0,0,1,Python,188,0,0,9,0,68,0,0,0,,,,,,,,,,,
frgfm/Holocron,https://github.com/frgfm/Holocron,FALSE,6/17/2019 21:45,"['pytorch', 'deep-learning', 'computer-vision', 'tridentnet', 'darknet', 'yolo', 'unet-image-segmentation', 'resnet', 'rexnet', 'cspdarknet53', 'yolov4', 'object-detection']",247,6,46,6,3,Python,18773,8,1,3,6,280,2,0,217,,,,,,,,,,,
machelreid/subformer,https://github.com/machelreid/subformer,FALSE,12/24/2020 23:29,"['nlp', 'machine-learning']",9,1,3,0,1,Python,3314,2,0,1,0,8,0,0,0,,,,,,,,,,,
ws-choi/LASAFT-Net-v2,https://github.com/ws-choi/LASAFT-Net-v2,FALSE,10/6/2021 13:20,[],29,4,5,0,1,Python,310955,0,0,11,0,32,0,0,23,,,,,,,,,,,
ispc-lab/BMD,https://github.com/ispc-lab/BMD,FALSE,4/6/2022 5:09,"['unsupervised-domain-adaptation', 'source-free-domain-adaptation']",17,1,0,0,1,Python,650,0,0,1,0,4,0,0,0,,,,,,,,,,,
neergaard/utime-pytorch,https://github.com/neergaard/utime-pytorch,FALSE,12/11/2020 8:51,[],7,2,3,0,1,Python,21,1,0,1,0,5,0,0,0,,,,,,,,,,,
richardbaihe/a3t,https://github.com/richardbaihe/a3t,FALSE,5/4/2022 23:00,[],13,1,2,0,133,Python,56368,0,0,1,0,12624,0,0,1,,,,,,,,,,,
naderAsadi/AML,https://github.com/naderAsadi/AML,FALSE,6/8/2021 17:38,"['continual-learning', 'incremental-learning', 'lifelong-learning']",13,1,0,0,1,Python,16,0,0,1,0,2,0,0,0,,,,,,,,,,,
ArnaudFickinger/adversarial-surprise,https://github.com/ArnaudFickinger/adversarial-surprise,FALSE,7/16/2021 16:59,[],7,1,2,0,0,Python,427,1,0,1,0,4,0,0,0,,,,,,,,,,,
machelreid/paradise,https://github.com/machelreid/paradise,FALSE,8/4/2021 6:50,[],5,2,0,0,1,Python,3468,0,0,1,0,6,0,0,0,,,,,,,,,,,
thunlp/BkdAtk-LWS,https://github.com/thunlp/BkdAtk-LWS,FALSE,5/29/2021 13:36,"['backdoor-attacks', 'nlp', 'nlproc']",11,7,4,0,2,Python,361078,0,0,1,0,4,0,0,0,,,,,,,,,,,
IDSIA/neuraldiffeq-fwp,https://github.com/IDSIA/neuraldiffeq-fwp,FALSE,6/3/2022 8:47,"['controlled-differential-equations', 'fast-weight-programmers', 'fast-weights', 'neural-differential-equations', 'neural-odes', 'continuous-time-sequence-processing']",6,3,0,0,1,Python,143,0,0,1,0,3,0,0,0,,,,,,,,,,,
luigifilippochiara/Goal-SAR,https://github.com/luigifilippochiara/Goal-SAR,FALSE,4/19/2022 9:57,"['computer-vision', 'deep-learning', 'trajectory-prediction']",20,3,1,0,2,Python,3545,1,0,1,0,11,0,0,0,,,,,,,,,,,
HomebrewNLP/HomebrewNLP-Jax,https://github.com/HomebrewNLP/Olmax,FALSE,7/18/2021 16:21,"['jax', 'tpu', 'attention', 'transformer', 'gpt', 'hpc']",30,5,6,0,4,Python,5917,26,0,5,0,1647,0,0,0,,,,,,,,,,,
SysCV/P3Depth,https://github.com/SysCV/P3Depth,FALSE,3/21/2022 10:31,[],75,15,10,0,2,Python,944,5,0,1,0,9,0,0,0,,,,,,,,,,,
jacky-liang/data-learning-boilerplate,https://github.com/jacky-liang/data-learning-boilerplate,FALSE,1/21/2021 14:42,[],9,1,1,0,1,Python,19,0,0,1,0,13,0,0,0,,,,,,,,,,,
RiceD2KLab/Audubon_F21,https://github.com/RiceD2KLab/Audubon_F21,FALSE,9/1/2021 16:36,[],9,1,6,0,7,Python,68737,3,2,4,0,129,0,0,0,,,,,,,,,,,
AxelAllen/Multimodal-BERT-in-Medical-Image-and-Text-Classification,https://github.com/AxelAllen/Multimodal-BERT-in-Medical-Image-and-Text-Classification,FALSE,12/8/2020 17:12,[],7,2,4,0,2,Jupyter Notebook,154340,1,0,1,0,156,0,0,0,,,,,,,,,,,
Ebadi-Fereshteh/Deep-Learning,https://github.com/Ebadi-Fereshteh/Deep-Learning,FALSE,3/26/2022 17:01,[],6,1,0,0,1,Jupyter Notebook,52831,0,0,1,0,206,0,0,0,,,,,,,,,,,
esowc/wildfire-forecasting,https://github.com/esowc/wildfire-forecasting,FALSE,5/14/2020 14:42,"['deep-learning', 'wildfire-forecasting', 'gis', 'earth-observation', 'remote-sensing']",39,4,9,0,2,Jupyter Notebook,944926,1,0,5,0,278,0,0,0,,,,,,,,,,,
ikr7/wandb-pytorch-gan-mnist-demo,https://github.com/ikr7/wandb-pytorch-gan-mnist-demo,FALSE,4/18/2020 10:50,[],7,1,1,0,2,Python,17,1,1,2,0,14,0,0,0,,,,,,,,,,,
prithv1/DMG,https://github.com/prithv1/DMG,FALSE,7/17/2020 21:03,[],45,2,4,0,1,Python,5127,2,0,1,0,8,0,0,0,,,,,,,,,,,
RajGhugare19/dreamerv2,https://github.com/RajGhugare19/dreamerv2,FALSE,5/3/2021 16:05,[],134,2,21,0,1,Python,3124,2,0,2,0,127,0,0,0,,,,,,,,,,,
morningmoni/CiteSum,https://github.com/morningmoni/CiteSum,FALSE,5/9/2022 20:53,"['text-summarization', 'citation-text-generation', 'scientific-summarization', 'extreme-summarization']",19,1,0,0,1,Python,2596,0,0,1,0,8,0,0,0,,,,,,,,,,,
jdongca2003/Yolov5_torchserve,https://github.com/jdongca2003/Yolov5_torchserve,FALSE,1/16/2021 23:16,[],8,1,7,0,1,Jupyter Notebook,1180,3,1,1,0,9,0,0,0,,,,,,,,,,,
miguelvalente/Invertible-Zero-Shot-Recognition-Flows,https://github.com/miguelvalente/Invertible-Zero-Shot-Recognition-Flows,FALSE,6/17/2021 9:33,[],9,1,1,0,1,Python,5021,0,0,1,0,7,0,0,0,,,,,,,,,,,
PKU-MARL/Safe-Policy-Optimization,https://github.com/PKU-MARL/Safe-Policy-Optimization,FALSE,6/5/2022 18:08,[],129,4,17,0,5,Python,289031,1,0,2,0,92,0,0,0,,,,,,,,,,,
NIKL-Team-BC/NIKL-KLUE,https://github.com/NIKL-Team-BC/NIKL-KLUE,FALSE,11/4/2021 22:13,[],48,1,8,0,6,Python,6136,1,0,2,0,77,0,0,0,,,,,,,,,,,
LukasHedegaard/continual-skeletons,https://github.com/LukasHedegaard/continual-skeletons,FALSE,4/6/2021 10:41,"['machine-learning', 'deep-learning', 'graph-neural-networks', 'online-inference', 'continual-inference', 'convolutional-neural-networks', 'skeleton-based-action-recognition']",10,2,4,0,2,Python,1748,0,0,2,0,230,0,0,0,,,,,,,,,,,
likith012/mulEEG,https://github.com/likith012/mulEEG,FALSE,2/25/2022 16:22,"['self-supervised-learning', 'representation-learning', 'sleep-staging', 'deep-learning', 'multi-view-learning', 'time-series', 'electroencephalography', 'miccai']",8,4,6,0,2,Python,32385,0,0,2,0,47,0,0,0,,,,,,,,,,,
Medabid1/I2I-LR,https://github.com/Medabid1/I2I-LR,FALSE,6/10/2021 16:23,"['image-to-image-translation', 'gans', 'super-resolution']",22,2,0,0,1,Python,15312,2,0,1,0,3,0,0,0,,,,,,,,,,,
nouhadziri/Neural-Path-Hunter,https://github.com/nouhadziri/Neural-Path-Hunter,FALSE,9/8/2021 0:40,[],10,2,0,0,1,Python,75,1,0,2,0,9,0,0,0,,,,,,,,,,,
anita-hu/sim2real-lane-detection,https://github.com/anita-hu/sim2real-lane-detection,FALSE,6/5/2021 16:29,"['sim-to-real', 'domain-adaptation', 'lane-detection', 'lane-classification']",6,4,1,0,3,Python,261,2,1,4,0,25,0,0,0,,,,,,,,,,,
maroxtn/mt5-M2M-comparison,https://github.com/maroxtn/mt5-M2M-comparison,FALSE,6/25/2021 16:34,"['nlp', 'nmt', 'translation', 'deeplearning', 'mt5', 't5', 'm2m']",11,1,2,0,1,Jupyter Notebook,24,2,0,1,0,5,0,0,0,,,,,,,,,,,
zhihanyang2022/off-policy-continuous-control,https://github.com/zhihanyang2022/off-policy-continuous-control,FALSE,5/1/2021 9:41,"['pytorch', 'recurrent-neural-network', 'actor-critic', 'off-policy', 'continuous-control', 'reinforcement-learning', 'rdpg', 'rtd3', 'rsac']",27,2,3,0,1,Python,143882,0,0,7,0,1017,0,0,0,,,,,,,,,,,
CodedotAl/gpt-code-clippy,https://github.com/CodedotAl/gpt-code-clippy,FALSE,7/1/2021 20:13,[],1994,48,118,0,10,Python,18181,13,2,16,0,173,0,0,0,,,,,,,,,,,
dachosen1/Common-Voice,https://github.com/dachosen1/Common-Voice,FALSE,2/19/2020 2:14,"['voice', 'machine-learning', 'audio-processing', 'streaming-audio']",15,2,5,0,6,Python,70781,21,14,18,0,499,0,0,172,,,,,,,,,,,
ai-med/Vox2Cortex,https://github.com/ai-med/Vox2Cortex,FALSE,3/16/2022 12:24,[],18,2,5,0,1,Python,59212,2,0,2,0,12,0,0,24,,,,,,,,,,,
LAION-AI/watermark-detection,https://github.com/LAION-AI/watermark-detection,FALSE,12/21/2021 10:08,[],14,2,3,0,3,Python,11457,1,1,1,0,5,0,0,0,,,,,,,,,,,
ovh/ai-training-examples,https://github.com/ovh/ai-training-examples,FALSE,2/17/2021 13:17,[],18,10,15,0,7,Jupyter Notebook,51757,3,0,3,0,245,0,0,0,,,,,,,,,,,
athn-nik/teach,https://github.com/athn-nik/teach,FALSE,8/7/2022 0:34,[],223,10,19,0,1,Python,8121,2,0,1,0,44,0,0,0,,,,,,,,,,,
wns823/NMT_SSP,https://github.com/wns823/NMT_SSP,FALSE,2/1/2021 22:44,[],6,0,0,0,2,Python,9076,2,0,1,0,72,0,0,0,,,,,,,,,,,
gissemari/PeruvianSignLanguage,https://github.com/gissemari/PeruvianSignLanguage,FALSE,6/24/2020 18:38,[],5,3,1,0,2,MATLAB,1297369,0,0,2,0,361,0,0,0,,,,,,,,,,,
amodas/PRIME-augmentations,https://github.com/amodas/PRIME-augmentations,FALSE,12/20/2021 12:12,[],33,3,3,0,2,Python,11144,1,0,1,0,14,0,0,0,,,,,,,,,,,
illidanlab/FADE,https://github.com/illidanlab/FADE,FALSE,6/12/2021 3:32,"['domain-adaptation', 'federated-learning', 'fairness-ml']",12,1,2,0,2,Python,700,0,0,2,0,12,0,0,0,,,,,,,,,,,
HuipengXu/tianchi-multi-task,https://github.com/HuipengXu/tianchi-multi-task,FALSE,1/9/2021 4:42,[],29,1,6,0,1,Python,6915,2,0,1,0,2,0,0,0,,,,,,,,,,,
RocketFlash/EmbeddingNet,https://github.com/RocketFlash/EmbeddingNet,FALSE,7/29/2019 12:48,"['siamese-network', 'triplet-loss', 'keras', 'triplet-networks', 'embeddings-learning']",22,1,8,0,1,Python,10280,5,3,2,0,46,0,0,0,,,,,,,,,,,
SebastianHafner/SiameseSSL,https://github.com/SebastianHafner/SiameseSSL,FALSE,11/15/2021 9:10,[],8,1,1,0,1,Python,312,0,0,5,0,45,0,0,0,,,,,,,,,,,
sunanlin13174/deepfashion2-yolov5-trt-sever,https://github.com/sunanlin13174/deepfashion2-yolov5-trt-sever,FALSE,6/23/2021 8:28,[],7,1,4,0,1,Python,1334,0,0,1,0,18,0,0,0,,,,,,,,,,,
XPixelGroup/BasicSR,https://github.com/XPixelGroup/BasicSR,FALSE,4/19/2018 18:58,"['basicsr', 'esrgan', 'edsr', 'rcan', 'edvr', 'srresnet', 'srgan', 'super-resolution', 'restoration', 'pytorch', 'stylegan2', 'dfdnet', 'basicvsr', 'swinir', 'ecbsr']",3966,85,842,18,15,Python,4251,220,8,2,35,512,3,0,0,,,,,,,,,,,
SpaceLearner/SessionRec-pytorch,https://github.com/SpaceLearner/SessionRec-pytorch,FALSE,12/8/2021 11:45,"['recommendation-system', 'session-based-recommendation-system', 'session-based-recommendation']",40,2,10,0,1,Python,368,0,0,3,0,53,0,0,0,,,,,,,,,,,
bh1995/AF-classification,https://github.com/bh1995/AF-classification,FALSE,7/26/2021 10:02,"['ecg-classification', 'transformer', 'deep-learning', 'neural-network', 'transformer-encoder']",16,2,3,0,1,Python,24,1,0,1,0,4,0,0,0,,,,,,,,,,,
NVlabs/PALAVRA,https://github.com/NVlabs/PALAVRA,FALSE,3/31/2022 9:25,[],15,10,2,0,1,Python,624,2,0,1,0,6,0,0,0,,,,,,,,,,,
safijari/jack-of-some-rl-journey,https://github.com/safijari/jack-of-some-rl-journey,FALSE,2/1/2020 21:35,[],37,1,6,0,1,Python,243,1,0,7,0,91,0,0,0,,,,,,,,,,,
BonesCat/YoloV5_PyQt5,https://github.com/BonesCat/YoloV5_PyQt5,FALSE,8/3/2021 2:36,[],59,2,16,0,1,Python,84864,3,0,2,0,5,0,0,0,,,,,,,,,,,
junhyeokk/boomhill24,https://github.com/junhyeokk/boomhill24,FALSE,5/10/2021 14:42,[],5,2,0,0,3,Jupyter Notebook,109129,0,0,2,0,65,0,0,0,,,,,,,,,,,
JakobHavtorn/hvae-oodd,https://github.com/JakobHavtorn/hvae-oodd,FALSE,6/3/2021 10:11,[],17,1,5,3,1,Python,229,1,0,1,3,14,0,0,0,,,,,,,,,,,
cnyvfang/YOLOv5-GUI,https://github.com/cnyvfang/YOLOv5-GUI,FALSE,12/23/2021 13:31,[],10,1,4,0,1,Python,3920,3,0,2,0,17,0,0,0,,,,,,,,,,,
XJTU-CVLAB-LOWLEVEL/Dehazing_SOTA_Methods,https://github.com/XJTU-CVLAB-LOWLEVEL/Dehazing_SOTA_Methods,FALSE,12/11/2020 9:06,[],8,1,0,0,1,Python,69182,0,0,1,0,13,0,0,0,,,,,,,,,,,
motokimura/kits19_3d_segmentation,https://github.com/motokimura/kits19_3d_segmentation,FALSE,3/6/2021 2:58,"['kits19', 'ct-scans', 'medical-imaging', '3d-unet', 'pytorch', '3d-images', 'computer-vision']",5,1,3,0,1,Jupyter Notebook,460,4,1,1,0,1,0,0,0,,,,,,,,,,,
kdhht2334/Contrastive-Adversarial-Learning-FER,https://github.com/kdhht2334/Contrastive-Adversarial-Learning-FER,FALSE,12/3/2020 2:09,[],9,3,3,0,1,Python,78663,0,0,1,0,45,0,0,0,,,,,,,,,,,
cvlab-epfl/voxel2mesh,https://github.com/cvlab-epfl/voxel2mesh,FALSE,5/26/2020 21:25,"['volumetric-data', '3d-surfaces', 'mesh-networks', 'mesh-generation']",75,11,23,0,1,Python,1552,1,0,1,0,38,0,0,0,,,,,,,,,,,
TonyPod/Two-CILs,https://github.com/TonyPod/Two-CILs,FALSE,4/14/2021 6:43,[],7,2,1,0,1,Python,66,0,0,1,0,6,0,0,0,,,,,,,,,,,
interscript/rababa,https://github.com/interscript/rababa,FALSE,6/16/2021 11:08,"['deep-learning', 'machine-learning', 'pytorch', 'neural-network', 'neural-networks', 'arabic', 'arabic-nlp', 'transformer', 'attention-model', 'hebrew', 'hebrew-nlp', 'hebrew-niqqud', 'tashkeel', 'ruby', 'onnx', 'abjad']",7,11,1,0,4,Python,31876,15,1,13,2,283,0,0,0,,,,,,,,,,,
mttr2021/MTTR,https://github.com/mttr2021/MTTR,FALSE,11/16/2021 18:57,[],596,8,65,0,2,Python,906,12,0,1,0,15,0,0,0,,,,,,,,,,,
isLinXu/YOLOv5_Efficient,https://github.com/isLinXu/YOLOv5_Efficient,FALSE,11/5/2021 1:40,[],18,1,5,0,2,Python,22103,1,0,1,0,27,0,0,0,,,,,,,,,,,
kzl/decision-transformer,https://github.com/kzl/decision-transformer,FALSE,6/2/2021 9:35,[],1355,28,256,0,4,Python,262,15,1,1,0,23,2,0,0,,,,,,,,,,,
landskape-ai/triplet-attention,https://github.com/landskape-ai/triplet-attention,FALSE,4/14/2020 17:58,"['computer-vision', 'deep-learning', 'attention-mechanism', 'convolutional-neural-networks', 'attention-mechanisms', 'gradcam', 'detection', 'triplet-attention', 'imagenet', 'paper', 'arxiv']",302,11,41,0,3,Jupyter Notebook,10186,0,0,1,0,98,0,0,0,,,,,,,,,,,
guyuchao/iNAS,https://github.com/guyuchao/iNAS,FALSE,11/15/2021 6:59,"['salient-object-detection', 'semantic-segmentation', 'neural-architecture-search', 'low-latency']",76,2,9,0,0,Python,715,2,0,1,0,3,0,0,0,,,,,,,,,,,
htdt/self-supervised,https://github.com/htdt/self-supervised,FALSE,1/31/2020 17:23,"['self-supervised-learning', 'representation-learning']",98,3,21,0,1,Python,93,0,0,1,0,69,0,0,0,,,,,,,,,,,
jkulhanek/robot-visual-navigation,https://github.com/jkulhanek/robot-visual-navigation,FALSE,10/15/2020 15:54,[],26,3,8,0,1,Python,2570,4,0,3,0,37,0,0,5,,,,,,,,,,,
JoyPang123/Textmage,https://github.com/JoyPang123/Textmage,FALSE,5/23/2021 6:26,"['pytorch', 'website', 'flask', 'text-to-image', 'python', 'nlp', 'computer-vision']",10,3,0,0,1,Python,607,0,0,1,0,10,0,0,0,,,,,,,,,,,
sahaana/ember,https://github.com/sahaana/ember,FALSE,5/1/2021 21:55,[],7,1,0,0,0,Python,177,0,0,1,0,1,0,0,0,,,,,,,,,,,
machelreid/can-wikipedia-help-offline-rl,https://github.com/machelreid/can-wikipedia-help-offline-rl,FALSE,1/28/2022 7:13,[],80,2,11,0,1,Python,10174,1,0,1,0,5,0,0,0,,,,,,,,,,,
landskape-ai/Progressive-Pruning,https://github.com/landskape-ai/Progressive-Pruning,FALSE,4/2/2022 5:10,"['sparsity', 'pruning', 'anytime-learning', 'neural-networks', 'icml-2022']",12,2,1,0,2,Python,13607,0,0,1,0,24,0,0,0,,,,,,,,,,,
beiyuouo/FedHF,https://github.com/beiyuouo/fedhf,FALSE,10/11/2021 15:50,"['fedhf', 'federated-learning', 'federated-learning-framework', 'python', 'distributed-machine-learning', 'machine-learning']",8,1,0,11,1,Python,927,0,0,3,11,155,0,0,56,,,,,,,,,,,
ahjwang/messenger-emma,https://github.com/ahjwang/messenger-emma,FALSE,1/18/2021 23:56,[],14,1,4,0,1,Python,42390,0,0,2,0,42,0,0,0,,,,,,,,,,,
keyonvafa/sequential-rationales,https://github.com/keyonvafa/sequential-rationales,FALSE,8/28/2021 21:54,[],32,3,2,0,1,Python,16947,0,0,1,0,43,0,0,0,,,,,,,,,,,
lavish619/AR-Sudoku-Solver-Pytorch-OpenCV,https://github.com/lavish619/AR-Sudoku-Solver-Pytorch-OpenCV,FALSE,1/13/2021 20:08,"['opencv', 'image-classification', 'sudoku-solver', 'pytorch', 'image-processing']",6,1,0,0,0,Jupyter Notebook,29166,0,0,1,0,24,0,0,0,,,,,,,,,,,
jiy173/MANA,https://github.com/jiy173/MANA,FALSE,3/26/2022 6:55,[],25,2,2,0,2,Python,1631,2,0,1,0,23,0,0,0,,,,,,,,,,,
EricaWei053/Reinforcement-Learning,https://github.com/EricaWei053/Reinforcement-Learning,FALSE,4/27/2021 18:38,[],8,1,1,0,1,Jupyter Notebook,3408,0,0,1,0,18,0,0,0,,,,,,,,,,,
zahra-zarrabi/YOLOv5_voc,https://github.com/zahra-zarrabi/YOLOv5_voc,FALSE,1/12/2022 20:53,[],6,1,0,0,1,Python,827,0,0,1,0,4,0,0,0,,,,,,,,,,,
Muennighoff/sgpt,https://github.com/Muennighoff/sgpt,FALSE,2/11/2022 7:27,[],159,3,16,0,1,Jupyter Notebook,18830,4,0,7,0,57,0,0,0,,,,,,,,,,,
RuxiaoChen/robotic-arm,https://github.com/RuxiaoChen/robotic-arm,FALSE,8/15/2022 15:42,[],7,1,0,0,1,C,450,0,0,1,0,9,0,0,0,,,,,,,,,,,
rosinality/id-gan-pytorch,https://github.com/rosinality/id-gan-pytorch,FALSE,1/14/2020 13:31,['id-gan'],26,3,4,0,3,Python,124362,1,0,1,0,49,0,0,0,,,,,,,,,,,
VincentWang25/Kaggle_G2Net,https://github.com/VincentWang25/Kaggle_G2Net,FALSE,9/12/2021 15:19,[],9,2,4,0,5,Jupyter Notebook,239058,0,0,2,0,101,1,0,0,,,,,,,,,,,
POSTECH-CVLab/SCNeRF,https://github.com/POSTECH-CVLab/SCNeRF,FALSE,8/6/2021 5:54,"['nerf', 'implicit-representions', 'calibration', 'computer-vision', 'deep-learning', 'self-calibration', 'pytorch']",360,15,30,0,5,Python,22872,2,0,3,0,45,0,0,43,,,,,,,,,,,
jerbarnes/direct_parsing_to_sent_graph,https://github.com/jerbarnes/direct_parsing_to_sent_graph,FALSE,4/12/2021 14:39,[],11,7,2,1,3,Python,25558,0,0,2,1,108,0,0,0,,,,,,,,,,,
t0efL/end2end-HKR-research,https://github.com/t0efL/end2end-HKR-research,FALSE,7/30/2022 16:06,[],14,2,1,0,1,Python,5652,0,0,2,0,69,0,0,0,,,,,,,,,,,
xyease/Dialog-PrLM,https://github.com/xyease/Dialog-PrLM,FALSE,5/25/2021 8:21,[],10,1,0,0,1,Python,4016,1,0,1,0,5,0,0,0,,,,,,,,,,,
pfnet-research/charge_transfer_nnp,https://github.com/pfnet-research/charge_transfer_nnp,FALSE,4/6/2022 1:48,[],15,13,4,0,0,Python,57,0,0,1,0,1,0,0,0,,,,,,,,,,,
LincolnVS/explainable-drl-traffic-lights,https://github.com/LincolnVS/explainable-drl-traffic-lights,FALSE,5/19/2021 17:13,"['cityflow', 'gym', 'gym-environment', 'traffic-signal-control']",8,1,3,0,5,Python,73857,0,0,4,0,153,0,0,0,,,,,,,,,,,
ajabri/videowalk,https://github.com/ajabri/videowalk,FALSE,6/24/2020 5:32,[],236,19,35,0,2,Python,59644,9,0,2,0,33,0,0,34,,,,,,,,,,,
jpmorganchase/abides-jpmc-public,https://github.com/jpmorganchase/abides-jpmc-public,FALSE,9/8/2021 10:46,[],28,12,12,0,3,Jupyter Notebook,2039,5,3,6,0,6,0,0,0,,,,,,,,,,,
ayulockin/kagglerecipes,https://github.com/ayulockin/kagglerecipes,FALSE,8/9/2021 4:29,"['classification', 'wandb', 'kaggle-competition', 'kaggle', 'brain-tumor-classification']",14,3,2,1,2,Jupyter Notebook,3245,0,0,5,1,102,0,0,46,,,,,,,,,,,
deepcam-cn/yolov5-face,https://github.com/deepcam-cn/yolov5-face,FALSE,4/26/2021 6:55,"['yolov5', 'tensorrt', 'retinaface', 'scrfd', 'tinaface', 'yolo', 'pytorch', 'arcface', 'shufflenet', 'blazeface', 'yolov7']",1333,31,374,0,13,Python,10286,96,0,1,0,128,0,0,0,,,,,,,,,,,
ygjwd12345/TransDepth,https://github.com/ygjwd12345/TransDepth,FALSE,3/12/2021 18:15,[],147,7,20,0,2,Python,662,3,2,1,0,35,0,0,0,,,,,,,,,,,
pyhopper/pyhopper,https://github.com/pyhopper/pyhopper,FALSE,3/16/2021 8:41,"['machine-learning', 'deep-learning', 'python', 'optimization', 'hyperparameter-optimization']",52,3,2,1,2,Python,15874,0,0,1,1,117,0,0,0,,,,,,,,,,,
Lolik-Bolik/binary_classification,https://github.com/Lolik-Bolik/binary_classification,FALSE,10/20/2020 15:44,"['deep-learning', 'classification', 'binary-classification', 'pytorch']",7,1,0,0,2,Python,177,0,0,1,0,49,0,0,0,,,,,,,,,,,
maxxxzdn/EEGCN,https://github.com/maxxxzdn/EEGCN,FALSE,1/7/2021 19:05,[],7,2,3,0,1,Python,2315,0,0,2,0,44,0,0,0,,,,,,,,,,,
BadourAlBahar/pose-with-style,https://github.com/BadourAlBahar/pose-with-style,FALSE,1/15/2022 19:04,[],211,8,31,0,1,Python,728,8,0,1,0,3,0,0,0,,,,,,,,,,,
BUPT-PRIV/MAE-priv,https://github.com/BUPT-PRIV/MAE-priv,FALSE,11/15/2021 4:20,[],36,3,6,0,5,Python,1752,2,0,13,0,185,0,0,0,,,,,,,,,,,
kekmodel/MPL-pytorch,https://github.com/kekmodel/MPL-pytorch,FALSE,2/8/2021 7:49,[],308,13,63,0,1,Python,45835,14,0,1,0,117,0,0,0,,,,,,,,,,,
BBQuercus/deepBlink,https://github.com/BBQuercus/deepBlink,FALSE,6/24/2020 14:52,"['deep-learning', 'blob-detection', 'python', 'diffraction-limited-spots', 'spot-detection', 'publication']",20,4,6,11,4,Python,345460,1,0,2,11,519,0,0,4,,,,,,,,,,,
prs-eth/deeplab-lakeice-webcams,https://github.com/prs-eth/deeplab-lakeice-webcams,FALSE,4/24/2020 11:32,[],10,3,2,0,1,Jupyter Notebook,19923,0,0,1,0,22,0,0,0,,,,,,,,,,,
IDSIA/lmtool-fwp,https://github.com/IDSIA/lmtool-fwp,FALSE,2/22/2021 14:25,"['transformers', 'fast-weights', 'language-model', 'pytorch', 'fast-weight-programmers']",9,6,2,0,2,Python,181,0,0,1,0,38,0,0,0,,,,,,,,,,,
Sharpiless/yolov5-knowledge-distillation,https://github.com/Sharpiless/yolov5-knowledge-distillation,FALSE,8/11/2021 5:32, 'knowledge-distillation', 'object-detection', 'yolo']",48,1,12,0,1,Python,116,3,0,1,0,2,0,0,0,,,,,,,,,
mila-iqia/atari-representation-learning,https://github.com/mila-iqia/atari-representation-learning,FALSE,1/23/2019 8:01,[],212,16,47,0,5,Python,6432,10,4,23,0,579,0,0,0,,,,,,,,,,,
jmcasebeer/autodsp,https://github.com/jmcasebeer/autodsp,FALSE,10/8/2021 17:58,[],48,6,8,0,1,Python,71,0,0,1,0,5,0,0,0,,,,,,,,,,,
zhiyuan454/yolov5-deepsort-Statistics-of-the-number-of-people-crossing-the-line,https://github.com/zhiyuan454/yolov5-deepsort-Statistics-of-the-number-of-people-crossing-the-line,FALSE,3/28/2021 10:54,[],7,1,0,0,1,Python,42632,1,0,1,0,6,0,0,0,,,,,,,,,,,
CHTC/templates-GPUs,https://github.com/CHTC/templates-GPUs,FALSE,8/14/2019 16:01,[],19,3,7,0,4,Python,37264,4,0,4,0,106,0,0,0,,,,,,,,,,,
david-knigge/separable-group-convolutional-networks,https://github.com/david-knigge/separable-group-convolutional-networks,FALSE,4/4/2022 13:09,"['deep-learning', 'equivariance', 'efficient-deep-learning']",5,1,1,0,2,Python,890,0,0,1,0,13,0,0,0,,,,,,,,,,,
sdhnshu/Fusion-Vision,https://github.com/sdhnshu/Fusion-Vision,FALSE,6/17/2020 16:18,"['generative-adversarial-network', 'generative-art', 'music', 'stylegan2', 'audio-reactive', 'art']",12,6,2,0,2,Jupyter Notebook,51372,1,1,5,0,35,0,0,0,,,,,,,,,,,
astanic/crafter-ood,https://github.com/astanic/crafter-ood,FALSE,7/17/2022 20:26,[],7,1,1,0,2,Python,412,0,0,1,0,11,0,0,0,,,,,,,,,,,
LukasStruppek/Plug-and-Play-Attacks,https://github.com/LukasStruppek/Plug-and-Play-Attacks,FALSE,1/31/2022 9:57,"['face-recognition', 'privacy-preserving-machine-learning', 'privacy-attacks', 'model-inversion', 'model-inversion-attack', 'machine-learning', 'stylegan2']",7,2,2,1,1,Python,560,0,0,1,1,24,0,0,0,,,,,,,,,,,
jonathanking/protein-transformer,https://github.com/jonathanking/protein-transformer,FALSE,11/1/2019 15:15,"['protein-structure', 'sequence-to-sequence', 'attention', 'computational-biology', 'machine-learning', 'structural-biology']",87,4,18,0,3,Jupyter Notebook,61841,1,0,5,0,872,0,0,0,,,,,,,,,,,
chrislemke/deep-martin,https://github.com/chrislemke/deep-martin,FALSE,7/4/2021 13:15,"['python', 'pytorch', 'deep-learning', 'nlp', 'text-simplification', 'huggingface', 'transformers']",15,1,1,0,2,Python,44034,5,5,7,0,32,0,0,0,,,,,,,,,,,
