Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,
nwcd-samples/Customized-OCR,https://github.com/nwcd-samples/Customized-OCR,FALSE,11/25/2020 8:51,[],18,5,3,8,2,Java,2196,0,0,2,8,237,0,0,0,
nollied/rigl-torch,https://github.com/nollied/rigl-torch,FALSE,10/23/2020 8:11,[],38,1,7,7,1,Jupyter Notebook,177,0,0,3,7,138,0,0,0,
aws-solutions/mlops-workload-orchestrator,https://github.com/aws-solutions/mlops-workload-orchestrator,FALSE,10/14/2020 23:20,"['machine-learning', 'mlops', 'artificial-intelligence']",114,14,45,10,7,Python,1459,0,0,3,10,29,0,0,0,
enginBozkurt/deep-learning-nanodegree,https://github.com/enginBozkurt/deep-learning-nanodegree,FALSE,3/13/2019 18:54,"['deep-learning', 'udacity-nanodegree', 'artificial-intelligence', 'generative-adversarial-network', 'recurrent-neural-networks', 'convolutional-neural-networks', 'lstm-neural-networks', 'sagemaker-deployment']",6,1,7,0,1,Jupyter Notebook,1045,0,0,1,0,14,0,0,0,
pmservice/ai-openscale-tutorials,https://github.com/pmservice/ai-openscale-tutorials,FALSE,10/22/2018 12:41,[],16,16,58,0,8,Jupyter Notebook,58302,6,3,4,0,386,0,0,0,
52-entertainment/deep-sea-iroboat-challenge,https://github.com/52-entertainment/deep-sea-iroboat-challenge,FALSE,3/15/2022 13:32,['virtual-regatta'],9,3,7,0,2,Jupyter Notebook,60105,0,0,1,0,7,0,0,0,
aws-samples/aws-rosettafold,https://github.com/aws-samples/aws-rosettafold,FALSE,12/15/2021 16:52,"['rosettafold', 'alphafold2', 'deep-learning', 'aws', 'aws-batch', 'protein-folding', 'hpc']",20,4,2,0,1,Python,27237,0,0,1,0,127,0,0,0,
tmastny/sagemaker,https://github.com/tmastny/sagemaker,FALSE,11/10/2019 15:38,[],6,4,0,0,1,R,971,4,0,2,0,143,0,0,31,
on-nix/python,https://github.com/on-nix/python,FALSE,8/28/2021 4:22,"['python', 'pypi', 'nix', 'nixos', 'nixpkgs']",67,3,8,0,6,Nix,10257,18,0,2,0,2453,0,0,21,
aws/sagemaker-pytorch-training-toolkit,https://github.com/aws/sagemaker-pytorch-training-toolkit,FALSE,3/1/2018 17:30,"['aws', 'sagemaker', 'pytorch', 'docker']",155,50,81,37,33,Python,47008,10,2,2,37,259,2,0,0,
nwcdheap/predictive-maintenance-using-machine-learning,https://github.com/nwcdheap/predictive-maintenance-using-machine-learning,FALSE,5/28/2020 5:12,[],15,1,4,0,0,Python,26908,0,0,1,0,2,0,0,0,
edumunozsala/Transformer-NMT,https://github.com/edumunozsala/Transformer-NMT,FALSE,11/1/2020 16:29,[],9,1,10,0,1,Jupyter Notebook,559,0,0,1,0,6,0,0,0,
huggingface/blog,https://github.com/huggingface/blog,FALSE,2/14/2020 15:39,['hacktoberfest'],477,38,224,0,124,Jupyter Notebook,325256,68,22,36,0,645,13,0,0,
aws-samples/sagemaker-end-to-end-distributed-tensorflow2,https://github.com/aws-samples/sagemaker-end-to-end-distributed-tensorflow2,FALSE,2/8/2021 18:08,[],5,11,1,0,2,Jupyter Notebook,337,1,0,1,0,9,0,0,0,
pm3310/hotel-recommender-system,https://github.com/pm3310/hotel-recommender-system,FALSE,8/3/2019 16:17,"['recommender-system', 'aws-sagemaker', 'gensim', 'word2vec', 'embeddings', 'travel']",18,4,1,0,1,Jupyter Notebook,32,0,0,1,0,4,0,0,0,
uwacsp/cits5503,https://github.com/uwacsp/cits5503,FALSE,4/2/2018 8:32,[],49,16,97,0,11,Shell,65327,0,0,1,0,255,0,0,0,
aws-samples/amazon-comprehend-custom-entity,https://github.com/aws-samples/amazon-comprehend-custom-entity,FALSE,10/3/2019 20:33,[],12,6,17,0,2,Jupyter Notebook,27918,3,1,1,0,17,0,0,0,
dglai/Graph-Neural-Networks-in-Life-Sciences,https://github.com/dglai/Graph-Neural-Networks-in-Life-Sciences,FALSE,7/14/2022 22:56,[],148,6,30,0,2,Jupyter Notebook,7201,1,0,2,0,54,0,0,0,
qtangs/tf-fraud-detection-using-machine-learning,https://github.com/qtangs/tf-fraud-detection-using-machine-learning,FALSE,7/30/2019 13:10,[],14,2,15,0,2,HCL,60,0,0,1,0,20,0,0,0,
fxgsell/GG-Edge-Inference,https://github.com/fxgsell/GG-Edge-Inference,FALSE,4/9/2018 10:07,[],14,4,7,0,3,Python,108843,4,0,1,0,117,0,0,0,
aws-samples/aws-research-workshops,https://github.com/aws-samples/aws-research-workshops,FALSE,12/24/2018 19:40,[],99,16,56,0,5,Jupyter Notebook,54959,0,0,2,0,172,0,0,0,
whn09/deepctr_sagemaker,https://github.com/whn09/deepctr_sagemaker,FALSE,1/9/2021 14:32,[],5,2,2,0,1,Jupyter Notebook,130,0,0,1,0,26,0,0,0,
dping1/AWS_P3_Workshop,https://github.com/dping1/AWS_P3_Workshop,FALSE,11/1/2018 13:53,[],19,4,12,0,1,Jupyter Notebook,6538,0,0,1,0,35,0,0,0,
OElesin/autogluon-tabular-sagemaker-container,https://github.com/OElesin/autogluon-tabular-sagemaker-container,FALSE,2/8/2020 11:15,"['sagemaker', 'autogluon', 'autogluon-mxnet', 'algorithm', 'ecr', 'deep-learning', 'automl']",13,4,0,0,2,Python,90,1,0,1,0,11,0,0,0,
awslabs/rust-smt-ir-examples,https://github.com/awslabs/rust-smt-ir-examples,FALSE,2/2/2022 17:21,[],5,9,0,0,4,SMT,12863,0,0,1,0,18,0,0,0,
kulsoom-abdullah/kulsoom-abdullah.github.io,https://github.com/kulsoom-abdullah/kulsoom-abdullah.github.io,FALSE,2/17/2019 2:07,[],14,2,5,0,1,Jupyter Notebook,155485,1,1,2,0,22,0,0,22,
aws-samples/mlops-amazon-sagemaker,https://github.com/aws-samples/mlops-amazon-sagemaker,FALSE,7/8/2019 17:37,[],189,11,98,0,9,Jupyter Notebook,10003,5,1,11,0,117,0,0,0,
PacktPublishing/Time-Series-Analysis-on-AWS,https://github.com/PacktPublishing/Time-Series-Analysis-on-AWS,FALSE,4/23/2021 5:43,[],12,4,6,0,5,Jupyter Notebook,231,0,0,1,0,18,0,0,0,
mhmohona/Udacity-DeepLearning-Nanodegree-Phase2,https://github.com/mhmohona/Udacity-DeepLearning-Nanodegree-Phase2,FALSE,1/24/2019 8:24,"['recurrent-neural-networks', 'convolutional-networks', 'deep-learning', 'pytorch', 'pytorch-scholarship-challenge', 'sentiment-analysis', 'classify-images', 'nanodegree']",8,2,7,0,1,Jupyter Notebook,1524953,0,0,1,0,67,0,0,0,
saubury/socksort,https://github.com/saubury/socksort,FALSE,2/9/2020 23:34,[],13,2,2,0,2,Jupyter Notebook,2941,0,0,2,0,18,0,0,0,
aws-samples/amazon-sagemaker-object-detection-from-scratch,https://github.com/aws-samples/amazon-sagemaker-object-detection-from-scratch,FALSE,7/30/2019 21:20,"['deeplens', 'sagemaker', 'sagemaker-example', 'object-detection']",10,7,9,0,2,Jupyter Notebook,32,0,0,1,0,14,0,0,0,
dedalusj/cloudgram,https://github.com/dedalusj/cloudgram,FALSE,10/17/2020 23:12,"['cloud', 'diagram', 'diagram-generator', 'diagrams-as-code', 'architecture']",76,3,3,0,2,JavaScript,2940,6,0,2,18,109,0,0,0,
aws-samples/amazon-sagemaker-nvidia-ngc-examples,https://github.com/aws-samples/amazon-sagemaker-nvidia-ngc-examples,FALSE,5/4/2020 13:37,[],15,24,11,0,2,Python,843,1,1,1,0,14,0,0,0,
aws-samples/medical-image-search,https://github.com/aws-samples/medical-image-search,FALSE,7/9/2020 1:30,[],15,9,5,0,2,JavaScript,4135,0,0,1,0,28,0,0,0,
jacopotagliabue/no-ops-machine-learning,https://github.com/jacopotagliabue/no-ops-machine-learning,FALSE,1/20/2021 15:22,[],28,5,7,0,1,Python,40,0,0,1,0,28,0,0,0,
aws/sagemaker-pytorch-inference-toolkit,https://github.com/aws/sagemaker-pytorch-inference-toolkit,FALSE,7/31/2019 22:59,[],84,23,52,29,19,Python,89475,27,8,4,29,146,0,0,0,
aws-samples/amazon-sagemaker-studio-vpc-networkfirewall,https://github.com/aws-samples/amazon-sagemaker-studio-vpc-networkfirewall,FALSE,1/26/2021 8:58,[],11,8,3,3,0,Jupyter Notebook,2778,0,0,2,3,26,0,0,0,
AlexMGitHub/Checkers-MCTS,https://github.com/AlexMGitHub/Checkers-MCTS,FALSE,11/28/2020 22:36,[],9,1,1,0,1,Jupyter Notebook,161205,1,0,1,0,36,0,0,0,
data-science-on-aws/data-science-on-aws,https://github.com/data-science-on-aws/data-science-on-aws,FALSE,2/29/2020 19:33,[],2772,107,899,0,12,Jupyter Notebook,1003315,79,2,3,0,3321,0,0,0,
mlpiper/mlhub,https://github.com/mlpiper/mlhub,FALSE,1/16/2019 20:49,[],11,4,5,0,7,Python,10817,11,10,48,0,136,0,0,0,
daekeun-ml/time-series-on-aws-hol,https://github.com/daekeun-ml/time-series-on-aws-hol,FALSE,8/27/2020 22:46,[],7,2,6,0,2,Jupyter Notebook,22610,0,0,1,0,12,0,0,0,
gokriznastic/pytorch-udacity-nanodegree,https://github.com/gokriznastic/pytorch-udacity-nanodegree,FALSE,1/23/2019 22:47,"['udacity', 'udacity-nanodegree', 'udacity-deep-learning', 'pytorch', 'deep-learning']",5,2,3,0,1,Jupyter Notebook,414242,0,0,1,0,73,0,0,0,
danromuald/sagemaker-dcgan,https://github.com/danromuald/sagemaker-dcgan,FALSE,11/27/2018 3:11,[],7,1,3,0,0,Jupyter Notebook,4942,2,1,1,0,13,0,0,0,
aws-samples/amazon-sagemaker-scikit-learn-pipelines,https://github.com/aws-samples/amazon-sagemaker-scikit-learn-pipelines,FALSE,7/6/2021 8:53,[],5,11,2,0,1,Jupyter Notebook,8,0,0,1,0,3,0,0,0,
daekeun-ml/recommendation-workshop,https://github.com/daekeun-ml/recommendation-workshop,FALSE,3/13/2020 0:09,[],6,2,9,0,2,Jupyter Notebook,2792,0,0,1,0,16,0,0,0,
spturner/sagemaker-gluon-labs,https://github.com/spturner/sagemaker-gluon-labs,FALSE,10/18/2018 14:38,[],5,1,0,0,1,Jupyter Notebook,45556,0,0,1,0,5,0,0,0,
aws-samples/sagemaker-studio-image-build-cli,https://github.com/aws-samples/sagemaker-studio-image-build-cli,FALSE,7/6/2020 21:11,"['sagemaker-studio', 'sagemaker', 'codebuild', 'aws', 'ecr']",40,11,16,4,5,Python,48,17,5,2,5,27,0,0,0,
juliensimon/dlnotebooks,https://github.com/juliensimon/dlnotebooks,FALSE,12/5/2017 10:23,[],108,12,100,0,1,Jupyter Notebook,34937,3,0,1,0,29,0,0,0,
shashankprasanna/torchserve-examples,https://github.com/shashankprasanna/torchserve-examples,FALSE,4/8/2020 23:45,[],17,3,10,0,2,Jupyter Notebook,25,6,1,1,0,10,0,0,0,
iBibek/MalConv-Deep-learning-for-PE-malware-classification,https://github.com/iBibek/MalConv-Deep-learning-for-PE-malware-classification,FALSE,10/15/2021 0:28,[],5,1,0,0,1,Jupyter Notebook,10841,0,0,1,0,9,0,0,0,
OtusTeam/Bigdata-ML,https://github.com/OtusTeam/Bigdata-ML,FALSE,7/28/2020 15:20,[],7,4,4,0,2,Jupyter Notebook,6126,0,0,1,0,20,0,0,0,
aws-samples/sagemaker-gpu-performance-io-deeplearning,https://github.com/aws-samples/sagemaker-gpu-performance-io-deeplearning,FALSE,12/30/2019 22:47,[],7,3,3,0,0,Python,114,0,0,1,0,11,0,0,0,
aws-samples/amazon-sagemaker-architecting-for-ml,https://github.com/aws-samples/amazon-sagemaker-architecting-for-ml,FALSE,12/20/2018 21:53,[],189,28,197,0,3,Jupyter Notebook,12200,6,5,1,0,173,0,0,0,
jayway/robocar-rally-lab,https://github.com/jayway/robocar-rally-lab,FALSE,12/15/2017 9:07,[],11,7,7,0,3,Jupyter Notebook,9961,0,0,8,0,153,0,0,0,
CloudedThings/100-Days-in-Cloud,https://github.com/CloudedThings/100-Days-in-Cloud,FALSE,9/22/2021 19:20,"['aws', 'cloud', 'lab', 'challenge', 'iot', 'terraform', 'iac', 'serverless']",14,1,10,0,1,Python,24310,1,0,1,0,203,0,0,0,
aws-samples/amazon-sagemaker-secure-mlops,https://github.com/aws-samples/amazon-sagemaker-secure-mlops,FALSE,5/1/2021 9:43,[],54,9,36,0,2,Jupyter Notebook,30450,2,1,2,0,149,0,0,0,
aws-deepracer/aws-deepracer-simulation-training-notebook,https://github.com/aws-deepracer/aws-deepracer-simulation-training-notebook,FALSE,6/16/2021 22:48,[],15,6,10,0,2,Python,21336,0,0,1,0,6,0,0,0,
rabowskyb/amazon-sagemaker-workshop,https://github.com/rabowskyb/amazon-sagemaker-workshop,FALSE,1/15/2018 16:49,[],5,6,2,0,1,Jupyter Notebook,1351,0,0,2,0,52,0,0,0,
awslabs/sagemaker-graph-entity-resolution,https://github.com/awslabs/sagemaker-graph-entity-resolution,FALSE,7/1/2020 19:40,[],10,9,4,0,3,Python,224,0,0,1,0,4,0,0,0,
FabG/aws-sagemaker-notebooks,https://github.com/FabG/aws-sagemaker-notebooks,FALSE,9/26/2020 19:33,[],5,2,0,0,1,Jupyter Notebook,6429,0,0,1,0,32,0,0,0,
NASA-IMPACT/workshop_notebooks,https://github.com/NASA-IMPACT/workshop_notebooks,FALSE,3/3/2021 14:39,[],7,17,11,0,4,Jupyter Notebook,24118,0,0,1,0,84,0,0,0,
gonsoomoon-ml/SageMaker-Pipelines-Step-By-Step,https://github.com/gonsoomoon-ml/SageMaker-Pipelines-Step-By-Step,FALSE,4/13/2021 7:35,[],12,2,14,0,1,Jupyter Notebook,20605,0,0,1,0,68,0,0,0,
marshmellow77/adverse-drug-effect-detection,https://github.com/marshmellow77/adverse-drug-effect-detection,FALSE,10/5/2021 12:19,[],5,1,4,0,1,Jupyter Notebook,991,0,0,1,0,20,0,0,0,
aws-samples/bioimage-search,https://github.com/aws-samples/bioimage-search,FALSE,9/9/2020 13:21,[],5,2,2,0,3,Jupyter Notebook,37661,2,2,6,0,351,0,0,0,
aws-samples/aws-video-metadata-knowledge-graph-workshop,https://github.com/aws-samples/aws-video-metadata-knowledge-graph-workshop,FALSE,11/12/2021 5:49,"['amazon-rekognition', 'amazon-transcribe', 'amazon-comprehend', 'amazon-neptune', 'knowledge-graph', 'video-metadata']",6,1,0,0,2,Jupyter Notebook,4480,0,0,1,0,22,0,0,0,
ACloudGuru-Resources/Course_AWS_Certified_Machine_Learning,https://github.com/ACloudGuru-Resources/Course_AWS_Certified_Machine_Learning,FALSE,1/14/2019 7:57,[],124,15,360,0,4,Jupyter Notebook,15799,0,0,1,0,32,0,0,0,
twoolf/DeepLens,https://github.com/twoolf/DeepLens,FALSE,2/14/2018 16:10,[],8,5,3,0,2,Matlab,7927,0,0,1,0,34,0,0,0,
datamindedbe/webinar-containers,https://github.com/datamindedbe/webinar-containers,FALSE,10/27/2021 17:09,[],13,1,3,0,1,HCL,791,0,0,3,0,3,0,0,0,
aws-samples/aws-ml-enablement-workshop,https://github.com/aws-samples/aws-ml-enablement-workshop,FALSE,4/15/2022 8:11,"['machine-learning', 'amazon-sagemaker-lab']",56,8,19,0,2,Jupyter Notebook,15410,1,0,2,0,28,0,0,0,
paiml/practical-mlops-book,https://github.com/paiml/practical-mlops-book,FALSE,11/8/2020 13:30,"['practical-mlops', 'machine-learning', 'cloud', 'oreilly-books', 'python', 'machine', 'learning']",397,15,158,0,4,Jupyter Notebook,4531,2,0,1,0,78,0,0,0,
aws-samples/aws-machine-learning-university-accelerated-nlp,https://github.com/aws-samples/aws-machine-learning-university-accelerated-nlp,FALSE,8/7/2020 0:40,"['machine-learning', 'natural-language-processing', 'deep-learning', 'python', 'gluon', 'mxnet', 'sklearn']",1957,163,513,0,5,Jupyter Notebook,80664,1,1,4,0,22,0,0,0,
aws-samples/sagemaker-rl-energy-storage-system,https://github.com/aws-samples/sagemaker-rl-energy-storage-system,FALSE,5/21/2021 4:28,"['reinforcement-learning', 'sagemaker', 'gym', 'deep-reinforcement-learning', 'dqn']",8,5,3,0,5,Python,211,6,0,1,0,92,0,0,0,
awslabs/fraud-detection-using-machine-learning,https://github.com/awslabs/fraud-detection-using-machine-learning,FALSE,5/17/2019 17:12,"['fraud-detection', 'sagemaker', 'aws-sagemaker', 'sagemaker-example', 'machine-learning', 'deep-learning', 'xgboost']",174,19,117,0,5,Jupyter Notebook,204,2,1,1,0,32,0,0,0,
PacktPublishing/Machine-Learning-with-Amazon-SageMaker-Cookbook,https://github.com/PacktPublishing/Machine-Learning-with-Amazon-SageMaker-Cookbook,FALSE,8/24/2020 5:54,[],31,5,28,0,5,Jupyter Notebook,3878,0,0,1,0,95,0,0,0,
sentinel-hub/eo-learn-examples,https://github.com/sentinel-hub/eo-learn-examples,FALSE,12/21/2021 9:26,[],14,4,8,0,25,Jupyter Notebook,315981,3,2,2,0,437,0,0,0,
huggingface/doc-build,https://github.com/huggingface/doc-build,FALSE,1/13/2022 9:53,[],10,23,9,0,9,HTML,798088,2,2,11,0,12635,0,0,0,
qcwthu/Continual_Fewshot_Relation_Learning,https://github.com/qcwthu/Continual_Fewshot_Relation_Learning,FALSE,3/3/2022 7:19,[],9,1,0,0,1,Python,11356,5,0,1,0,19,0,0,0,
kssteven418/LTP,https://github.com/kssteven418/LTP,FALSE,7/1/2021 2:50,"['natural-language-processing', 'transformer', 'bert', 'pruning', 'model-compression', 'efficient-model', 'efficient-neural-networks']",51,1,7,0,1,Python,42265,5,0,4,0,6,0,0,0,
violentometro-online-team/violentometro-online,https://github.com/violentometro-online-team/violentometro-online,FALSE,8/28/2020 6:31,"['hate-speech', 'women', 'data-science', 'streamlit', 'heroku', 'spanish-hate-speech']",7,2,1,0,2,Jupyter Notebook,10447,0,0,1,0,38,0,0,0,
RoaldSchuring/wine_recommender,https://github.com/RoaldSchuring/wine_recommender,FALSE,5/27/2019 16:48,[],12,2,8,0,2,Jupyter Notebook,143478,1,1,2,0,9,0,0,0,
exasol/data-science-examples,https://github.com/exasol/data-science-examples,FALSE,2/5/2019 12:12,"['exasol-integration', 'data-science']",15,13,8,0,9,Jupyter Notebook,885,13,6,11,0,26,1,0,0,
aws-samples/rust-detection,https://github.com/aws-samples/rust-detection,FALSE,3/23/2021 16:20,[],6,1,7,0,1,JavaScript,2924,2,2,3,0,2,0,0,0,
awslabs/sagemaker-deep-demand-forecast,https://github.com/awslabs/sagemaker-deep-demand-forecast,FALSE,3/27/2020 1:04,"['gluonts', 'time-series', 'aws-sagemaker', 'demand-forecast', 'deep-learning', 'forecasting']",63,12,26,0,4,Python,15093,0,0,2,0,116,0,0,0,
ishaaq/sagemaker-pipe,https://github.com/ishaaq/sagemaker-pipe,FALSE,3/2/2018 6:36,[],10,2,3,0,1,Python,11,1,0,1,0,9,0,0,0,
aws-samples/sagemaker-101-workshop,https://github.com/aws-samples/sagemaker-101-workshop,FALSE,5/6/2021 3:43,"['aws', 'sagemaker', 'amazon-sagemaker', 'workshops']",44,1,29,0,9,Jupyter Notebook,852,5,1,6,0,160,0,0,0,
PacktPublishing/Applied-Machine-Learning-for-Healthcare-and-Life-Sciences-using-AWS,https://github.com/PacktPublishing/Applied-Machine-Learning-for-Healthcare-and-Life-Sciences-using-AWS,FALSE,3/25/2022 11:17,[],7,2,2,0,3,Jupyter Notebook,3992,0,0,1,0,40,0,0,0,
maxbren/aws-custom-docker-model-deploy-front-end,https://github.com/maxbren/aws-custom-docker-model-deploy-front-end,FALSE,8/24/2020 18:22,[],6,2,6,0,1,Python,56,0,0,1,0,37,0,0,0,
daekeun-ml/tfs-workshop,https://github.com/daekeun-ml/tfs-workshop,FALSE,11/23/2019 13:59,[],8,1,7,0,2,Jupyter Notebook,16621,1,0,1,0,19,0,0,0,
wandb/examples,https://github.com/wandb/examples,FALSE,1/29/2018 17:53,[],786,20,245,0,47,Jupyter Notebook,161444,2,1,90,0,775,0,0,0,
abiodunjames/MachineLearning,https://github.com/abiodunjames/MachineLearning,FALSE,3/13/2020 0:38,[],6,1,5,0,1,Jupyter Notebook,543,2,0,1,0,6,0,0,0,
neo-ai/neo-ai-dlr,https://github.com/neo-ai/neo-ai-dlr,FALSE,12/14/2018 22:25,"['deep-learning', 'machine-learning']",460,35,108,9,27,C,127773,46,3,29,11,298,3,0,0,
petobens/introduccion-ml-aplicado,https://github.com/petobens/introduccion-ml-aplicado,FALSE,5/14/2020 1:39,[],10,5,13,0,2,Jupyter Notebook,13598,0,0,3,0,13,0,0,0,
giuseppeporcelli/end-to-end-ml-application,https://github.com/giuseppeporcelli/end-to-end-ml-application,FALSE,8/21/2019 15:38,[],9,5,6,0,2,Jupyter Notebook,7194,0,0,1,0,46,0,0,0,
aws-samples/amazon-kinesis-sagemaker-promotion-recommendations,https://github.com/aws-samples/amazon-kinesis-sagemaker-promotion-recommendations,FALSE,4/23/2018 19:43,[],25,24,9,0,2,HTML,11173,0,0,1,0,7,0,0,0,
aws-samples/amazon-lookout-for-vision,https://github.com/aws-samples/amazon-lookout-for-vision,FALSE,1/27/2021 21:49,[],12,5,21,0,8,Jupyter Notebook,508979,1,0,1,0,24,0,0,0,
aws-samples/ml-edge-getting-started,https://github.com/aws-samples/ml-edge-getting-started,FALSE,6/4/2021 10:30,[],16,2,5,0,6,Jupyter Notebook,4228,0,0,1,0,43,0,0,0,
thecodemasterk/XGboost,https://github.com/thecodemasterk/XGboost,FALSE,6/22/2020 10:38,[],17,5,33,0,1,Jupyter Notebook,424,0,0,1,0,16,0,0,0,
awslabs/autogluon,https://github.com/awslabs/autogluon,FALSE,7/29/2019 18:51,"['automl', 'machine-learning', 'data-science', 'deep-learning', 'ensemble-learning', 'image-classification', 'computer-vision', 'natural-language-processing', 'structured-data', 'object-detection', 'gluon', 'transfer-learning', 'pytorch', 'automated-machine-learning', 'scikit-learn', 'autogluon', 'tabular-data', 'hyperparameter-optimization']",4961,91,649,21,87,Python,12890,191,18,57,21,1187,6,0,0,
giuseppeporcelli/sagemaker-custom-training-containers,https://github.com/giuseppeporcelli/sagemaker-custom-training-containers,FALSE,10/21/2019 16:22,[],23,5,6,0,1,Jupyter Notebook,306,0,0,1,0,15,0,0,0,
aws-samples/amazon-sagemaker-mlops-with-featurestore-and-datawrangler,https://github.com/aws-samples/amazon-sagemaker-mlops-with-featurestore-and-datawrangler,FALSE,10/14/2021 0:17,[],16,4,14,0,4,Python,1272,0,0,3,0,54,0,0,0,
daekeun-ml/sagemaker-studio-workshop-kr,https://github.com/daekeun-ml/sagemaker-studio-workshop-kr,FALSE,1/20/2020 5:31,[],15,2,15,0,2,Jupyter Notebook,9380,0,0,1,0,34,0,0,0,
slalom/dataops-infra,https://github.com/slalom/dataops-infra,FALSE,12/4/2019 23:57,[],16,7,35,78,7,HCL,36759,58,8,21,79,136,3,0,90,
Mcompetitions/M5-methods,https://github.com/Mcompetitions/M5-methods,FALSE,1/21/2020 8:37,[],429,46,179,0,1,Jupyter Notebook,998633,24,16,16,0,236,0,0,0,
aws-samples/amazon-quicksight-sdk-proserve,https://github.com/aws-samples/amazon-quicksight-sdk-proserve,FALSE,2/18/2020 23:15,[],49,8,37,0,13,Python,35384,0,0,5,0,264,2,0,0,
geoffreylink/Projects,https://github.com/geoffreylink/Projects,FALSE,9/13/2018 14:47,[],8,4,6,0,1,Jupyter Notebook,96150,0,0,1,0,2487,0,0,0,
jennyd77/WorkSiteSafety,https://github.com/jennyd77/WorkSiteSafety,FALSE,7/31/2018 23:26,[],7,4,3,0,2,Python,85449,0,0,1,0,18,0,0,0,
daekeun-ml/sm-kornlp-usecases,https://github.com/daekeun-ml/sm-kornlp-usecases,FALSE,6/13/2022 9:12,[],5,1,3,0,1,Jupyter Notebook,1508,1,1,1,0,8,0,0,0,
Adapter-Hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,FALSE,4/21/2020 16:21,"['nlp', 'natural-language-processing', 'adapters', 'transformers', 'bert', 'pytorch']",1048,18,186,12,431,Python,72202,52,7,3,14,10963,0,0,51,
aws-samples/aws-bikenow-demo,https://github.com/aws-samples/aws-bikenow-demo,FALSE,3/19/2020 17:49,"['aws-database', 'analytics-services']",19,5,7,0,3,Jupyter Notebook,4868,5,5,7,0,51,0,0,0,
aletheia/mnist_pl_sagemaker,https://github.com/aletheia/mnist_pl_sagemaker,FALSE,7/11/2020 21:49,[],19,1,2,0,2,Jupyter Notebook,1585,7,5,6,0,33,0,0,0,
ds-muzalevskiy/sagemaker-docker-deploy,https://github.com/ds-muzalevskiy/sagemaker-docker-deploy,FALSE,11/8/2020 15:45,[],14,1,5,0,1,Jupyter Notebook,477,0,0,1,0,48,0,0,0,
dbbrandt/short_answer_granding_capstone_project,https://github.com/dbbrandt/short_answer_granding_capstone_project,FALSE,6/15/2019 23:41,[],8,1,10,0,1,Python,295024,0,0,1,0,81,0,0,0,
wleepang/sagemaker4research-workshop,https://github.com/wleepang/sagemaker4research-workshop,FALSE,5/11/2018 23:21,[],7,2,17,0,0,Jupyter Notebook,1368,0,0,1,1,19,0,0,0,
lynnlangit/Hello-AWS-Data-Services,https://github.com/lynnlangit/Hello-AWS-Data-Services,FALSE,1/27/2018 4:25,"['aws', 'aws-cli', 'aws-sdk', 'redshift', 'rds', 'sagemaker', 'emr', 'athena', 'kinesis', 'dynamodb']",148,12,80,0,1,Jupyter Notebook,89637,0,0,1,0,469,0,0,0,
awslabs/sagemaker-document-understanding,https://github.com/awslabs/sagemaker-document-understanding,FALSE,12/7/2020 19:39,[],10,7,2,0,3,Jupyter Notebook,333,1,0,1,0,7,0,0,0,
C24IO/Reinvent2019Pytorch,https://github.com/C24IO/Reinvent2019Pytorch,FALSE,8/30/2019 21:58,[],17,3,3,0,1,HTML,8114,1,0,1,0,93,0,0,0,
toandaominh1997/Steel-Defect-Detection,https://github.com/toandaominh1997/Steel-Defect-Detection,FALSE,8/15/2019 3:59,[],13,2,7,0,1,Python,294,2,0,1,0,23,0,0,0,
liangruibupt/aws-is-how,https://github.com/liangruibupt/aws-is-how,FALSE,4/9/2020 2:42,"['china-region', 'aws-regions', 'workshop', 'know-how', 'lambda', 'sagemaker', 'amazon-ec2']",29,3,16,0,2,Jupyter Notebook,347270,0,0,1,0,580,0,0,206,
cyrusmvahid/sagemaker-demos,https://github.com/cyrusmvahid/sagemaker-demos,FALSE,1/2/2018 15:18,[],25,6,8,0,2,Jupyter Notebook,69264,0,0,1,0,49,0,0,0,
ritchie46/sagemaker-custom-model,https://github.com/ritchie46/sagemaker-custom-model,FALSE,8/14/2018 12:52,[],29,3,9,0,1,Python,18,0,0,2,0,1,0,0,0,
aws-samples/ml-gameday-tutorial,https://github.com/aws-samples/ml-gameday-tutorial,FALSE,7/16/2019 23:47,[],15,10,19,1,5,Jupyter Notebook,26661,26,0,1,1,93,0,0,0,
awslabs/datawig-sagemaker,https://github.com/awslabs/datawig-sagemaker,FALSE,2/5/2019 18:31,"['machine-learning', 'sagemaker']",9,7,4,0,2,Python,55,0,0,2,0,15,5,0,0,
PacktPublishing/Hands-On-Machine-Learning-Using-Amazon-SageMaker-v-,https://github.com/PacktPublishing/Hands-On-Machine-Learning-Using-Amazon-SageMaker-v-,FALSE,12/18/2018 4:09,[],15,7,22,0,3,Jupyter Notebook,1288,10,10,11,0,12,0,0,0,
zhreshold/mini-amazon-go,https://github.com/zhreshold/mini-amazon-go,FALSE,10/15/2019 21:01,[],11,4,9,0,2,Jupyter Notebook,94800,1,0,3,0,50,0,0,0,
aws-samples/amazon-sagemaker-automatic-deploy-mlflow-model,https://github.com/aws-samples/amazon-sagemaker-automatic-deploy-mlflow-model,FALSE,9/9/2022 4:29,[],9,2,1,0,3,Python,497,1,1,1,0,12,0,0,0,
